,momentum_12_1,sharpe_1y,volatility_6m,max_drawdown_1y,rank_momentum,rank_sharpe,rank_low_vol,rank_low_dd,composite_score
ABT,0.30445611046734977,1.0966743199076676,0.015332913807095753,-0.13270814472582015,0.9333333333333333,1.0,0.9333333333333333,0.0,0.8133333333333334
MMM,0.533240279209958,0.8348561091500543,0.021989465464551373,-0.18714543330001776,1.0,0.9333333333333333,0.4666666666666667,0.1333333333333333,0.7699999999999999
APD,0.1773670549596309,0.4191863133354633,0.017184292994750088,-0.2601292030074308,0.8666666666666667,0.8,0.8,0.2666666666666667,0.7466666666666667
ABBV,0.1564792234063197,0.30314131573367087,0.01772449646709303,-0.20736389773350428,0.8,0.7333333333333333,0.6666666666666667,0.19999999999999996,0.67
AMD,-0.06389608011617287,0.4377160350248801,0.03811807062521841,-0.547395846624801,0.6,0.8666666666666667,0.06666666666666665,0.9333333333333333,0.65
AFL,0.10671674806310749,0.10382674556719808,0.015475138715961189,-0.1355921685375997,0.7333333333333333,0.6,0.8666666666666667,0.06666666666666665,0.6133333333333333
ABNB,-0.07899159663865551,0.27050791041760436,0.029948607551916827,-0.34524839771842253,0.5333333333333333,0.6666666666666666,0.2666666666666667,0.4,0.5133333333333334
A,-0.042286999727195074,-0.5099842990112604,0.02243356130892281,-0.34796235301300316,0.6666666666666666,0.3333333333333333,0.33333333333333337,0.4666666666666667,0.48666666666666664
AOS,-0.1080152525090603,-0.3946288777061709,0.01727146360257055,-0.33544121779071145,0.4666666666666667,0.4,0.7333333333333334,0.33333333333333337,0.4666666666666666
ALB,-0.1712074636576465,0.055146606472982744,0.0416773330295749,-0.5395646289758779,0.3333333333333333,0.5333333333333333,0.0,0.8666666666666667,0.42333333333333334
ACN,-0.11098771271209351,-1.0290959086822766,0.01959873856079481,-0.3933750215349743,0.4,0.2,0.6,0.6,0.4
AES,-0.2542057818543326,-0.2529670638350385,0.03698694856980445,-0.5029138222496561,0.2,0.4666666666666667,0.1333333333333333,0.8,0.36
AKAM,-0.17301681802614866,-0.7222206645638323,0.03101048906878158,-0.36055123038025383,0.26666666666666666,0.26666666666666666,0.19999999999999996,0.5333333333333333,0.2966666666666667
ARE,-0.3089987878372019,-1.2071404814458904,0.022022392912183712,-0.4348667348011571,0.13333333333333333,0.13333333333333333,0.4,0.7333333333333334,0.2633333333333333
ADBE,-0.319737759321999,-1.3666243987584041,0.021835933563213075,-0.42328872891722036,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.6666666666666667,0.22666666666666668
